gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	25313      	100   	35617.8	3766.15	25313	46805
1  	22912      	72    	33078.3	3996.36	22912	42025
2  	19958      	83    	29984.8	4319.43	19958	39715
3  	19958      	80    	28360.7	4815.68	19958	40289
4  	19958      	65    	27214.9	4357.98	19958	40704
5  	18077      	62    	25218.2	4219.85	18077	38931
6  	18077      	73    	24098.6	4088.52	18077	35098
7  	18077      	76    	24776.2	4676.44	18077	34060
8  	17801      	83    	25600  	4742.85	17801	37936
9  	17801      	70    	24782.8	4653.33	17801	34898
10 	16920      	62    	23735.4	4594.83	16920	33891
11 	15069      	67    	22634  	4728.36	15069	34551
12 	15069      	72    	22781  	5292.04	15069	32330
13 	15069      	80    	23403.9	4908.91	15069	33396
14 	15069      	78    	22898  	4997.64	15069	40873
15 	15069      	76    	22176.2	4978.63	15069	36499
16 	15069      	78    	24088.1	5412.82	15069	35285
17 	15069      	76    	24294.9	5424.34	15069	36115
18 	15069      	74    	22531.4	5102.05	15069	33613
19 	15069      	73    	23196.9	6067.64	15069	36437
20 	15069      	80    	23082.8	5870.14	15069	35336
21 	15069      	72    	21653.9	5687.06	15069	35512
22 	15069      	69    	20302.2	5160.86	15069	32129
23 	15069      	74    	21074.7	5744.81	15069	36522
24 	15069      	77    	21345.6	5350.99	15069	34094
25 	15069      	80    	21213.4	5722.72	15069	36665
26 	14977      	83    	21409.4	5792.89	14977	34299
27 	14977      	86    	21643.4	5231.78	14977	31953
28 	14977      	66    	21211.8	5752.73	14977	34726
29 	14977      	83    	20776.8	5397.78	14977	36864
30 	14977      	74    	20807.7	5775.51	14977	35959
31 	14977      	80    	22104.4	5531.23	14977	33372
32 	14977      	80    	23108.1	5829.1 	14977	36250
33 	14977      	72    	22508.2	5754.11	14977	35005
34 	14977      	69    	20888.9	5477.33	14977	34513
35 	14977      	70    	20960.3	5566.52	14977	35255
36 	14977      	75    	21391  	5757.45	14977	32790
37 	14977      	79    	21093.8	5389.17	14977	34046
38 	14977      	77    	21004.1	5357.86	14977	33200
39 	14977      	84    	21241.3	5654.15	14977	32253
40 	14977      	65    	20674.6	5342.14	14977	34927
41 	14977      	68    	20297.4	5603.53	14977	36578
42 	14977      	71    	20965  	5213.7 	14977	32162
43 	14977      	84    	21243.1	5403.35	14977	34072
44 	14977      	82    	21405.8	5401.17	14977	35682
45 	14977      	81    	22722.3	5488.22	14977	34701
46 	14977      	73    	21850.5	5677.9 	14977	34404
47 	14977      	81    	21473  	5492.98	14977	32856
48 	14977      	72    	21170.1	5568.88	14977	33092
49 	14977      	73    	21362.9	5731.44	14977	36319
50 	14977      	86    	21946.1	5762.25	14977	37659
51 	14977      	80    	21875.4	5779.76	14977	34216
52 	14977      	73    	21799.9	5617.05	14977	34750
53 	14977      	78    	21020.7	5321.42	14977	33189
54 	14977      	77    	21674  	5734.52	14977	33770
55 	14977      	78    	20587  	4965.09	14977	33818
56 	14977      	70    	20216.8	5504.55	14977	35056
57 	14977      	71    	20446.2	5121.03	14977	31356
58 	14977      	70    	20173.6	5633.6 	14977	35329
59 	14977      	73    	20633.3	5448.35	14977	34304
60 	14977      	78    	21875.7	5493.66	14977	32016
61 	14977      	68    	21008.7	5461.95	14977	34940
62 	14977      	82    	21520.4	5563.55	14977	35360
63 	14977      	72    	21313.2	5155.29	14977	31841
64 	14977      	83    	22122.9	5547.34	14977	32849
65 	14977      	72    	22140.2	5802.66	14977	34550
66 	14977      	75    	21383.2	5411.54	14977	32451
67 	14977      	78    	21460.7	5465.21	14977	37026
68 	14977      	83    	21797.4	5358.12	14977	31835
69 	14977      	81    	21415.5	5426.81	14977	37143
70 	14977      	69    	20737.4	5389.66	14977	35087
71 	14977      	79    	20765.6	5306.68	14977	32215
72 	14977      	72    	20914.3	5475.14	14977	35622
73 	14977      	73    	21750.6	5401.9 	14977	32111
74 	14977      	77    	20672.6	5368.94	14977	30769
75 	14977      	74    	20327  	5245.05	14977	32082
76 	14977      	77    	20822.7	5389.9 	14977	32174
77 	14977      	74    	20808.7	5482.74	14977	32349
78 	14977      	80    	20517  	5593.41	14977	37443
79 	14977      	79    	20936.7	5295.23	14977	34094
80 	14977      	76    	22090.7	5844.74	14977	34187
81 	14977      	76    	21865.1	5589.61	14977	36867
82 	14977      	80    	20396.4	5377.61	14977	32310
83 	14977      	80    	20640.2	5264.41	14977	30531
84 	14977      	78    	20091  	5339.51	14977	31137
85 	14977      	70    	20767.5	5533.9 	14977	34292
86 	14977      	77    	20838.7	5712.77	14977	33185
87 	14977      	67    	20802.5	5405.26	14977	32653
88 	14977      	79    	21730.9	5577.62	14977	34861
89 	14977      	69    	20367.3	5505.12	14977	32146
90 	14977      	71    	20667.2	5634.13	14977	35333
91 	14977      	72    	19663.1	5142.69	14977	31906
92 	14977      	71    	20029.5	5479.45	14977	33803
93 	14977      	74    	20325.9	5258.89	14977	34392
94 	14977      	69    	20807.6	5350.67	14977	33802
95 	14977      	79    	20149  	5410.66	14977	32492
96 	14977      	72    	20766.3	5396.14	14977	37861
97 	14977      	71    	20989.9	5554.03	14977	34112
98 	14977      	88    	21458.4	5510.52	14977	35687
99 	14977      	73    	21326.5	5725.95	14977	34462
100	14977      	77    	21372.7	5474.22	14977	32149
run 0: 14977.00 42 5078
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	27663      	100   	35673.1	3457.56	27663	44956
1  	20414      	74    	32844.4	3509.61	20414	39820
2  	19092      	76    	30931.6	4144.34	19092	38968
3  	19092      	73    	28527.8	4047.66	19092	37316
4  	19092      	74    	28226.7	4566.83	19092	40392
5  	19092      	78    	28459.5	4291.46	19092	37220
6  	19092      	68    	27863.4	4670.77	19092	40911
7  	17909      	83    	26862.5	4412.91	17909	40213
8  	16352      	79    	26043.6	4094.85	16352	36925
9  	16352      	75    	24547.8	4700.61	16352	36664
10 	15762      	74    	24645.1	5117.52	15762	39464
11 	15762      	70    	23969.4	4636.16	15762	37062
12 	15762      	69    	23237.9	5243.34	15762	35357
13 	15762      	80    	23642.3	5374.03	15762	35275
14 	15762      	72    	23002.8	5373.82	15762	35291
15 	15762      	69    	22991.7	5335.39	15762	32954
16 	15762      	70    	22800.6	5458.81	15762	36338
17 	15762      	71    	22461.1	5918.01	15762	34365
18 	15762      	67    	22420.1	5821.32	15762	34056
19 	15762      	70    	21572.7	5186.14	15762	34939
20 	15762      	80    	22565.3	5517.52	15762	36358
21 	15762      	82    	23678.1	5319.33	15762	35710
22 	15762      	76    	23512.5	5702.94	15762	35060
23 	15762      	79    	23018.9	5517.92	15762	36190
24 	15762      	70    	23161.5	5549.03	15762	34594
25 	15762      	83    	23750.7	5483.02	15762	33635
26 	15762      	79    	23283.4	5941.37	15762	35221
27 	15762      	71    	22700  	6097.37	15762	38476
28 	15762      	73    	21799.6	5478.36	15762	32645
29 	15762      	75    	22473.7	5768.34	15762	36751
30 	15762      	74    	21218.6	5257.84	15762	31762
31 	15762      	72    	20982.7	5107.48	15762	32241
32 	15762      	73    	20898.2	5509.95	15762	33536
33 	15762      	76    	21478.8	5492.61	15762	33529
34 	15762      	71    	21995.7	5646.47	15762	34369
35 	15762      	70    	21762.8	5514.77	15762	33496
36 	15762      	67    	22640.1	5945.08	15762	37921
37 	15762      	75    	23647.5	5921.71	15762	35191
38 	15762      	81    	22731.3	6005.33	15762	37102
39 	15762      	72    	21834.7	5796.13	15762	33329
40 	15762      	77    	22703  	5682.73	15762	33126
41 	15762      	70    	22118.5	5833.87	15762	34930
42 	15762      	57    	21426.8	6026.79	15762	34435
43 	15762      	69    	20547.4	5796.39	15762	34220
44 	15762      	83    	22244.7	6074.75	15762	37419
45 	15762      	80    	22430.8	5935.36	15762	35204
46 	15762      	75    	22005.8	5684.17	15762	36026
47 	15762      	79    	22452.4	5765.52	15762	33648
48 	15762      	73    	22279.3	5835.29	15762	37164
49 	15762      	74    	22025.3	5931.45	15762	33722
50 	15762      	71    	21681.8	5533.99	15762	34559
51 	15762      	74    	22498.4	6101.46	15762	34617
52 	15762      	77    	22586.4	5661.25	15762	32981
53 	15762      	71    	21968.1	5771.83	15762	33957
54 	15762      	77    	22271.7	5770.42	15762	35995
55 	15762      	79    	23354.8	5688.74	15762	34621
56 	15762      	71    	22562.7	5477.14	15762	35494
57 	15762      	74    	22817.7	5709.31	15762	33892
58 	15762      	74    	21140.5	5518.87	15762	34204
59 	15762      	81    	22162.3	6102.09	15762	34095
60 	15762      	68    	22045.7	5975.55	15762	35063
61 	15762      	82    	21161.2	5771.36	15762	34468
62 	15762      	79    	21802.3	5944.79	15762	34074
63 	15762      	74    	23218.9	5505.53	15762	34126
