gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	15457      	50    	19697.7	2123.72	15457	26302
1  	10105      	42    	17595.7	2345.6 	10105	21529
2  	10105      	38    	15775.5	2509.43	10105	20551
3  	9900       	36    	14386  	2777.31	9900 	20676
4  	9900       	39    	13823.6	2562.83	9900 	19307
5  	9900       	40    	12582.9	2477.96	9900 	17514
6  	9900       	36    	12446.1	2573.49	9900 	19639
7  	9900       	37    	12109.7	2600.2 	9900 	18617
8  	9900       	36    	13070.3	2859.72	9900 	18541
9  	9900       	31    	12117.8	2441.11	9900 	19505
10 	9900       	39    	12752  	3131.57	9900 	21039
11 	9900       	39    	11753.9	2384.33	9900 	17514
12 	9900       	38    	12200.2	2249.55	9900 	16516
13 	9900       	32    	11933.3	2557.15	9900 	19547
14 	9900       	39    	11637.2	2070.65	9900 	16290
15 	9900       	35    	11742.6	2545.24	9900 	18810
16 	9900       	31    	11417.3	2237.79	9900 	16840
17 	9900       	39    	11682.4	2191.02	9900 	16084
18 	9900       	40    	11476.7	1947.04	9900 	15675
19 	9900       	35    	11221.5	2129.52	9900 	17384
20 	9900       	32    	11493.8	2262.84	9900 	17444
run 0: 9900.00 3 458
gen	best_of_gen	nevals	avg  	std    	min  	max  
0  	16316      	50    	20368	2016.61	16316	25552
1  	11489      	41    	18497.2	2236.83	11489	22151
2  	10434      	32    	16107.6	2789.4 	10434	21650
3  	10434      	37    	15597.1	3041.94	10434	21369
4  	10434      	40    	14126.4	2576.95	10434	19879
5  	10434      	37    	13459.4	2485.67	10434	18542
6  	10434      	42    	12764.6	2190.84	10434	18060
7  	10434      	41    	13004  	2423.3 	10434	18493
8  	10434      	40    	12916  	2423.73	10434	18734
9  	10434      	38    	13290  	2823.57	10434	20531
10 	10434      	34    	13084.6	2672.32	10434	20516
11 	10434      	36    	12943.9	2571.06	10434	18663
12 	10434      	36    	12770.2	2339.71	10434	17436
13 	10434      	34    	12528.2	2347.01	10434	18426
14 	10434      	39    	12409.4	2314.32	10434	16750
15 	10434      	38    	12683  	2299.87	10434	20692
16 	10434      	31    	12969.6	2515.6 	10434	18214
17 	10434      	37    	12979.5	2732.74	10434	20524
18 	9900       	42    	13318.9	2511.53	9900 	18485
19 	9900       	35    	12723.1	2299.6 	9900 	17912
20 	9900       	34    	12715.5	2084.89	9900 	18200
run 1: 9900.00 6 504
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	14036      	50    	19568.4	2149.14	14036	24931
1  	14036      	37    	17861.5	1881.89	14036	21855
2  	9907       	37    	16306.9	2313.49	9907 	19936
3  	9907       	41    	15604.2	2666.15	9907 	21258
4  	9900       	43    	14091.4	2755.23	9900 	20039
5  	9900       	35    	12895.5	2836.82	9900 	19873
6  	9900       	34    	11954.7	2604.79	9900 	18881
7  	9900       	35    	12014.5	2591.49	9900 	17758
8  	9900       	36    	11786.3	2449.67	9900 	17688
9  	9900       	35    	11990.7	2582.05	9900 	19769
10 	9900       	38    	12199.3	2614.75	9900 	18453
11 	9900       	38    	11994.4	2306.77	9900 	17234
12 	9900       	36    	12600.2	2496.31	9900 	17793
13 	9900       	39    	12260.1	2513.58	9900 	18526
14 	9900       	43    	12874.3	2925.43	9900 	19044
15 	9900       	38    	12316.5	2796.27	9900 	19440
16 	9900       	40    	12259.3	2388.22	9900 	17981
17 	9900       	37    	12193.8	2380.37	9900 	17722
18 	9900       	35    	12138.4	2377.51	9900 	17940
19 	9900       	32    	12520.8	2637.98	9900 	19061
20 	9900       	37    	12226.5	2347.93	9900 	17796
run 2: 9900.00 8 493
