'''
Created on Aug 21, 2015

@author: pta
'''
JOBS = 20
NUM_GEN = 100
POPSIZE = 100
PCROSS = 0.6
PMUTATION = 3.0
INDPB = 0.1
PLOCALSEARCH = 1.0
VERBOSE = False
MAX_TRAILS = 1
MAX_TRAILS_LS = 20

A1-13-25-75-6.ctp 13871.0 0 15 0:15:08.287128
A1-1-50-50-8.ctp 9287.0 9130 9 0:13:46.969717
A2-1-100-100-8.ctp 10432.0 9093 9 0:15:55.404833
A1-1-50-50-5.ctp 9731.0 9220 9 0:13:55.899131
A2-20-100-100-8.ctp 27701.0 18418 28 0:26:29.241686
A1-13-25-75-8.ctp 13121.0 0 15 0:15:06.287037
A2-10-50-150-8.ctp 14053.0 11942 15 0:17:11.997907
A2-10-50-150-4.ctp 19187.0 17083 16 0:17:40.021011
A1-13-25-75-4.ctp 16615.0 0 15 0:15:49.846136
A1-5-25-75-4.ctp 10827.0 10827 7 0:11:30.855176
A1-10-50-50-4.ctp 18982.0 17973 18 0:19:14.376071
A2-1-100-100-5.ctp 11392.0 10234 9 0:16:17.830463
A2-1-100-100-6.ctp 10827.0 10020 10 0:16:10.268923
A1-5-25-75-8.ctp 8265.0 8265 7 0:10:49.022253
A1-13-25-75-5.ctp 14103.0 0 15 0:15:35.364658
A2-25-100-100-4.ctp 43845.0 31000 33 0:30:12.216620
A1-10-50-50-6.ctp 16632.0 14064 19 0:18:50.211205
A1-25-50-50-4.ctp 35726.0 0 30 0:26:27.556241
A1-1-50-50-4.ctp 10481.0 10271 10 0:14:08.675484
A1-5-25-75-5.ctp 8659.0 8659 7 0:11:09.124237
A1-1-25-75-5.ctp 8479.0 8479 7 0:11:22.440066
A2-1-100-100-4.ctp 13256.0 11885 10 0:16:22.746787
A1-1-25-75-8.ctp 7985.0 7985 7 0:09:30.377984
A2-10-50-150-6.ctp 15617.0 13894 15 0:12:52.239183
A1-1-25-75-6.ctp 8479.0 8479 7 0:05:46.649321
A1-25-50-50-8.ctp 26229.0 0 30 0:12:38.408328
A1-1-50-50-6.ctp 9453.0 9130 10 0:06:57.489944
A1-10-50-50-5.ctp 18042.0 15440 19 0:09:26.435034
A2-20-100-100-4.ctp 36591.0 26594 29 0:13:35.187227
A2-20-100-100-5.ctp 31792.0 23419 29 0:13:26.186178
A2-10-50-150-5.ctp 17038.0 14977 15 0:08:47.078196
A2-25-100-100-5.ctp 41108.0 26993 35 0:14:51.058549
A1-25-50-50-6.ctp 29784.0 0 30 0:12:52.744905
A2-1-50-150-8.ctp 8904.0 8896 8 0:07:16.943327
A2-20-100-100-6.ctp 31903.0 20966 31 0:13:18.103049
A2-1-50-150-5.ctp 10669.0 10407 10 0:07:18.119883
A2-1-50-150-4.ctp 11893.0 11550 9 0:07:16.991798
A1-10-50-50-8.ctp 15117.0 13369 19 0:09:00.206383
A1-25-50-50-5.ctp 32320.0 0 31 0:12:48.596529
A2-1-50-150-6.ctp 10446.0 10068 9 0:07:16.698660
A1-1-25-75-4.ctp 8479.0 8479 7 0:05:37.621576
A2-25-100-100-6.ctp 39154.0 24442 35 0:14:30.060994
A1-5-25-75-6.ctp 8659.0 8659 7 0:05:41.585660
A2-25-100-100-8.ctp 36796.0 20556 35 0:14:35.854478
B1-13-25-75-8.ctp 10713.0 0 15 0:14:51.020556
B2-1-100-100-8.ctp 17904.0 13137 16 0:22:21.857470
B1-10-50-50-5.ctp 15155.0 13535 16 0:17:26.864900
B2-25-100-100-8.ctp 44723.0 24089 41 0:33:50.229945
B2-10-50-150-4.ctp 17776.0 16667 16 0:18:49.271023
B1-5-25-75-8.ctp 8306.0 8306 8 0:11:37.744840
B1-1-50-50-6.ctp 9438.0 9382 9 0:12:49.800028
B1-5-25-75-4.ctp 9465.0 9465 8 0:11:50.587637
B1-1-25-75-4.ctp 7146.0 7146 6 0:10:35.007797
B2-20-100-100-4.ctp 49864.0 34073 37 0:32:23.305494
B1-25-50-50-4.ctp 39033.0 0 31 0:25:53.241242
B2-10-50-150-6.ctp 14971.0 12954 16 0:18:36.427438
B1-25-50-50-5.ctp 35444.0 0 31 0:25:22.559320
B2-1-50-150-6.ctp 10195.0 9799 9 0:14:26.622018
B2-1-50-150-8.ctp 9124.0 8846 8 0:14:17.892269
B1-10-50-50-6.ctp 13701.0 12067 17 0:17:05.116948
B1-25-50-50-8.ctp 30268.0 0 31 0:24:49.711041
