'''
Created on Aug 21, 2015

@author: pta
'''
JOBS = 20
NUM_GEN = 100
POPSIZE = 100
PCROSS = 0.6
PMUTATION = 3.0
INDPB = 0.1
PLOCALSEARCH = 1.0
VERBOSE = False
MAX_TRAILS = 20
MAX_TRAILS_LS = 20

A2-10-50-150-5.ctp 16420.0 14977 15 0:46:55.407160
A2-20-100-100-5.ctp 32140.0 23419 29 1:15:43.177582
A1-1-25-75-4.ctp 8479.0 8479 7 0:17:16.710561
A2-20-100-100-6.ctp 30215.0 20966 30 1:20:03.892022
A1-5-25-75-4.ctp 10827.0 10827 7 0:19:18.202809
A2-1-50-150-4.ctp 11615.0 11550 8 0:38:27.047187
A2-10-50-150-6.ctp 15563.0 13894 15 0:49:28.899301
A2-20-100-100-4.ctp 35859.0 26594 28 1:11:04.200683
A1-13-25-75-4.ctp 16515.0 0 15 0:25:49.931104
A2-1-100-100-5.ctp 11573.0 10234 9 0:47:27.407938
A1-1-50-50-6.ctp 9357.0 9130 9 0:32:05.508894
A2-25-100-100-8.ctp 35832.0 20556 34 1:38:40.607097
A2-25-100-100-4.ctp 43616.0 31000 33 1:17:41.603983
A1-5-25-75-6.ctp 8659.0 8659 7 0:20:16.582280
A2-25-100-100-6.ctp 38059.0 24442 36 1:28:14.507286
A1-10-50-50-8.ctp 14893.0 13369 18 0:34:21.316277
A2-10-50-150-4.ctp 18165.0 17083 15 0:22:29.750097
A1-10-50-50-5.ctp 16542.0 15440 18 0:21:21.634339
A1-1-50-50-8.ctp 9156.0 9130 10 0:17:02.115001
A1-25-50-50-5.ctp 31102.0 0 31 0:29:15.572958
A1-25-50-50-6.ctp 30021.0 0 31 0:31:06.254305
A1-13-25-75-5.ctp 14074.0 0 15 0:13:19.426171
A1-10-50-50-4.ctp 18734.0 17973 18 0:20:25.281545
A1-1-25-75-5.ctp 8479.0 8479 7 0:08:47.163478
A1-1-25-75-8.ctp 7985.0 7985 7 0:08:43.604013
A1-1-50-50-4.ctp 10505.0 10271 9 0:15:07.320212
A1-25-50-50-4.ctp 33413.0 0 31 0:27:39.919950
A2-25-100-100-5.ctp 39686.0 26993 34 0:41:27.030864
A2-1-50-150-6.ctp 10484.0 10068 9 0:20:06.739068
A1-10-50-50-6.ctp 15133.0 14064 18 0:22:36.341922
A2-1-100-100-4.ctp 12936.0 11885 9 0:22:44.035390
A1-1-25-75-6.ctp 8479.0 8479 7 0:08:53.625358
A1-25-50-50-8.ctp 26724.0 0 31 0:34:32.005042
A1-13-25-75-8.ctp 12931.0 0 15 0:14:29.802310
A2-1-100-100-6.ctp 10625.0 10020 10 0:24:43.367240
A1-1-50-50-5.ctp 9564.0 9220 10 0:15:43.287572
A1-5-25-75-5.ctp 8659.0 8659 7 0:09:48.241499
A2-1-50-150-8.ctp 8904.0 8896 8 0:21:25.215183
A2-20-100-100-8.ctp 27913.0 18418 29 0:44:08.754009
A1-5-25-75-8.ctp 8265.0 8265 7 0:09:48.392593
A2-1-50-150-5.ctp 10550.0 10407 9 0:19:39.841580
A2-1-100-100-8.ctp 10743.0 9093 10 0:25:57.256016
A2-10-50-150-8.ctp 14404.0 11942 15 0:26:17.988848
A1-13-25-75-6.ctp 13765.0 0 15 0:13:47.490820
B1-1-50-50-5.ctp 9729.0 9723 8 0:29:37.856401
B1-25-50-50-4.ctp 39134.0 0 31 0:54:35.101976
B1-25-50-50-6.ctp 31317.0 0 31 1:01:35.253972
B1-10-50-50-5.ctp 14338.0 13535 16 0:39:50.326233
B1-10-50-50-4.ctp 16647.0 15209 16 0:37:49.922198
B1-13-25-75-4.ctp 15126.0 0 15 0:26:05.807918
B1-13-25-75-6.ctp 11566.0 0 15 0:28:02.003944
B2-20-100-100-6.ctp 41359.0 25960 35 1:36:51.132576
B2-25-100-100-6.ctp 47096.0 28581 44 1:42:56.651462
B1-10-50-50-8.ctp 11612.0 10344 15 0:45:31.329636
B2-1-100-100-5.ctp 20316.0 15876 18 1:08:15.206227
B1-1-50-50-4.ctp 10107.0 10107 8 0:28:36.669211
B2-25-100-100-4.ctp 57172.0 37614 41 1:31:00.338921
B1-25-50-50-5.ctp 36238.0 0 31 0:57:40.596375
B1-5-25-75-6.ctp 9148.0 9148 8 0:21:24.983378
B2-10-50-150-8.ctp 13547.0 11495 17 0:37:13.641236
B1-5-25-75-5.ctp 9460.0 9460 8 0:10:21.445345
