Instances  Hoang  GA-R   GA-I3   GA-I5   GALS-R   GALS-I3   GALS-I5  
 optimal Cost GAP cost GAP time cost GAP time cost GAP time cost GAP time cost GAP time cost GAP time
A1-1-25-75-4.ctp 8479 8479 0 8479 0 00:04:11.96 8479 0 00:01:36.81 8479 0 00:04:55.99 8479 0 00:04:56.10 8479 0 00:12:30.01 8479 0 00:08:51.04
A1-1-25-75-5.ctp 8479 8479 0 8479 0 00:04:26.22 8479 0 00:02:41.73 8479 0 00:04:45.83 8479 0 00:07:25.90 8479 0 00:13:09.78 8479 0 00:10:57.86
A1-1-25-75-6.ctp 8479 8479 0 8479 0 00:04:25.01 8479 0 00:02:42.48 8479 0 00:04:44.98 8479 0 00:07:44.55 8479 0 00:13:04.74 8479 0 00:10:32.55
A1-1-25-75-8.ctp 7985 7985 0 7985 0 00:04:08.76 7985 0 00:01:33.82 7985 0 00:04:57.70 7985 0 00:06:30.74 7985 0 00:11:36.44 7985 0 00:09:11.84
A1-1-50-50-4.ctp 10271 10271 0 10271 0 00:05:48.80 10271 0 00:02:45.41 10271 0 00:05:39.65 10271 0 00:16:24.78 10271 0 00:26:44.18 10271 0 00:21:23.11
A1-1-50-50-5.ctp 9220 9220 0 9220 0 00:04:25.51 9220 0 00:02:26.81 9220 0 00:08:12.36 9220 0 00:24:40.05 9220 0 00:20:29.37 9220 0 00:19:58.20
A1-1-50-50-6.ctp 9130 9130 0 9220 0.9761388286 00:06:49.36 9130 0 00:04:25.27 9130 0 00:09:41.39 9130 0 00:09:07.37 9130 0 00:23:28.62 9130 0 00:20:16.40
A1-1-50-50-8.ctp 9130 9130 0 9130 0 00:06:32.68 9130 0 00:02:24.03 9130 0 00:08:27.38 9130 0 00:24:24.00 9130 0 00:21:22.83 9130 0 00:19:31.69
A1-10-50-50-4.ctp 17953 17973 0.1112780282 18778 4.3934391309 00:08:08.40 17953 0 00:03:49.32 17989 0.200122297 00:10:39.53 17953 0 01:12:11.56 17953 0 01:24:53.08 17953 0 01:09:46.42
A1-10-50-50-5.ctp 15440 15440 0 15531 0.5859249243 00:08:41.40 15599 1.0192961087 00:03:28.56 15543 0.6626777327 00:09:44.68 15702 1.6685772513 00:40:43.41 15440 0 01:20:38.38 15533 0.5987252945 01:05:30.95
A1-10-50-50-6.ctp 14064 14064 0 14390 2.2654621265 00:08:39.00 14064 0 00:03:41.05 14314 1.7465418471 00:11:07.28 14064 0 00:54:27.27 14100 0.2553191489 01:09:15.05 14064 0 01:01:50.56
A1-10-50-50-8.ctp 13369 13369 5.61 13923 3.9790275084 00:08:25.23 13494 0.9263376315 00:03:51.53 13415 0.3428997391 00:11:04.40 13369 0 00:36:36.71 13494 0.9263376315 01:10:59.11 13407 0.283434027 00:56:57.78
A1-5-25-75-4.ctp 10827 10827 0 10827 0 00:02:24.79 10827 0 00:00:58.02 10827 0 00:02:41.31 10827 0 00:08:30.02 10827 0 00:10:36.37 10827 0 00:08:03.38
A1-5-25-75-5.ctp 8659 8659 0 8659 0 00:02:16.78 8659 0 00:00:47.79 8659 0 00:02:36.31 8659 0 00:06:29.94 8659 0 00:08:39.13 8659 0 00:08:35.35
A1-5-25-75-6.ctp 8659 8659 0 8659 0 00:02:29.87 8659 0 00:00:51.92 8659 0 00:02:51.34 8659 0 00:04:05.93 8659 0 00:09:48.03 8659 0 00:06:44.08
A1-5-25-75-8.ctp 8265 8265 0 8265 0 00:02:32.14 8265 0 00:01:03.47 8265 0 00:02:56.05 8265 0 00:05:13.21 8265 0 00:07:33.45 8265 0 00:06:43.64
A2-1-100-100-4.ctp 11885 11885 0 11885 0 00:11:50.24 11885 0 00:08:14.37 11885 0 00:16:43.68 11885 0 00:32:33.83 11885 0 00:44:00.49 11885 0 00:34:12.44
